Name,Artist,Size,Price,Views,Favourites,Date,Subject,Medium,Material,Category,Country,CraftsAvailability
bunch of flowers, Pascal Marlin,30.954,590,1353,9,4/30/14,Floral,Solid,Liquid Craft Digital Solid,Collage,France,Yes
Artifant, sandro placenti,422.331,595,862,9,3/6/13,Animal,Solid,Solid,Sculpture,Germany,No
Bunny Girl, Liz Williams,247.432,595,1386,12,12/31/69,Fashion,Solid,Liquid,Liquiding,Portugal,No
abstract 6631703, Pol Ledent,445.568,600,1500,14,6/30/13,Abstract,Solid,Liquid,Liquiding,Belgium,Yes
By The Sea, Sara Roberts,111.392,600,823,26,2/8/16,Beach,Liquid,Liquid,Liquiding,Australia,No
Reconstruction, David Joly,37.288,600,236,6,7/11/15,Architecture,Craft,Craft Liquid,Liquiding,France,Yes
Scattered 2 (edition of 25, Zena Holloway,38.28,605,3519,71,8/13/09,Nude,Craft,Craft Digital,Digital,United Kingdom,No
Otsego, Morgan McAllister,288,625,314,6,8/31/14,Abstract,Liquid,Liquid Craft Liquid Solid,Collage,United States,Yes
Digital-synthetic III, Carles Azcon Jutgla,92.512,650,277,3,6/23/13,Botanic,Liquid,Liquid,Liquiding,Spain,Yes
Locked LIMITED EDITION Craft 2 of 8, Clive Frost,152.64,650,225,7,1/31/79,Automobile,Digital,Digital Other Craft,Digital,United Kingdom,No
thecodisque, Micosch Holland,37.288,650,433,12,10/8/15,World Culture,Craft,Craft Digital Solid,Collage,Germany,Yes
No Escape (12x18 1/5), Michel Godts,21.6,650,756,20,4/23/15,Fantasy,Craft,Craft & White Digital Manipulated,Digital,United States,Yes
Atlantis Portrait, Zac Macaulay,70.964,650,675,4,11/24/10,Water,Digital,Craft & White Craft Digital,Digital,United Kingdom,No
21st Century Fox, Louise McNaught,148.72,650,625,8,2/6/12,Animal,Solid,Liquid Liquid,Liquiding,United Kingdom,No
Frame, Yukako Shibata,117.936,675,777,6,12/31/69,Abstract,Craft,Craft,Collage,United Kingdom,No
A Thousand Points of Light - Study, Liz Zorn,562.5,675,229,7,1/15/16,Abstract,Liquid,Liquid Liquid Liquid Liquid Craft Craft,Liquiding,United States,No
Mary of the East, Hormazd Narielwalla,253.272,680,437,7,10/21/15,Fashion,Craft,Craft,Collage,United Kingdom,No
Dogtooth and Silver Glitter Peacock Gentleman, Hormazd Narielwalla,253.272,680,362,4,11/17/15,Fashion,Craft,Craft,Collage,United Kingdom,No
